2026-08-11 23:20:55,582 | INFO | builtins | Browser closed: Verify website logo
2026-08-11 23:20:55,582 | INFO | builtins | ===================================
2026-08-11 23:20:55,582 | INFO | builtins | BigBasket BDD Test Execution Finished
2026-08-11 23:20:55,582 | INFO | builtins | ===================================
2026-08-11 23:23:02,187 | INFO | builtins | ===================================
2026-08-11 23:23:02,187 | INFO | builtins | BigBasket BDD Test Execution Started
2026-08-11 23:23:02,187 | INFO | builtins | ===================================
2026-08-11 23:23:02,188 | INFO | builtins | -----------------------------------
2026-08-11 23:23:02,188 | INFO | builtins | Starting Scenario: Verify homepage loads successfully
2026-08-11 23:23:04,285 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:23:05,329 | INFO | builtins | Scenario PASSED: Verify homepage loads successfully
2026-08-11 23:23:05,440 | INFO | builtins | Browser closed: Verify homepage loads successfully
2026-08-11 23:23:05,440 | INFO | builtins | -----------------------------------
2026-08-11 23:23:05,440 | INFO | builtins | Starting Scenario: Verify homepage title
2026-08-11 23:23:07,261 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:23:08,138 | INFO | builtins | Scenario PASSED: Verify homepage title
2026-08-11 23:23:08,240 | INFO | builtins | Browser closed: Verify homepage title
2026-08-11 23:23:08,241 | INFO | builtins | -----------------------------------
2026-08-11 23:23:08,241 | INFO | builtins | Starting Scenario: Verify homepage URL
2026-08-11 23:23:10,023 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:23:10,865 | INFO | builtins | Scenario PASSED: Verify homepage URL
2026-08-11 23:23:10,983 | INFO | builtins | Browser closed: Verify homepage URL
2026-08-11 23:23:10,983 | INFO | builtins | -----------------------------------
2026-08-11 23:23:10,983 | INFO | builtins | Starting Scenario: Verify search box
2026-08-11 23:23:12,905 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:23:13,857 | INFO | builtins | Scenario PASSED: Verify search box
2026-08-11 23:23:13,967 | INFO | builtins | Browser closed: Verify search box
2026-08-11 23:23:13,967 | INFO | builtins | -----------------------------------
2026-08-11 23:23:13,967 | INFO | builtins | Starting Scenario: Verify website logo
2026-08-11 23:23:15,821 | INFO | builtins | Chrome WebDriver initialized successfully
